epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,740.082,0.78301,1.44982,0.75499,1.04608,0,0.94239,0.69495,0.78949,0.61625,0.92164,0.68386,0.76763,0.57571,0.70737,1.4841,0.68467,0.96702,0,0.00121736,0.00121736,0.00121736
29,767.543,0.75628,1.41918,0.73484,1.028,0,0.89912,0.72632,0.77725,0.60836,0.88966,0.71839,0.76782,0.56354,0.63782,1.47858,0.73338,0.93299,0,0.00120071,0.00120071,0.00120071
30,794.155,0.7638,1.41681,0.74584,1.02916,0,0.91376,0.69767,0.77812,0.61542,0.91355,0.69681,0.76625,0.56768,0.70998,1.72161,0.70476,0.96568,0,0.00118405,0.00118405,0.00118405
31,820.242,0.76123,1.42585,0.73639,1.03005,0,0.92992,0.74691,0.80782,0.62522,0.92708,0.72082,0.78227,0.58838,0.68795,1.5019,0.68058,0.95685,0,0.0011674,0.0011674,0.0011674
32,846.408,0.76573,1.40301,0.73706,1.02903,0,0.88977,0.68312,0.76949,0.61595,0.89573,0.68537,0.76764,0.57623,0.66653,1.49857,0.69314,0.93632,0,0.00115075,0.00115075,0.00115075
33,872.923,0.75495,1.40216,0.72817,1.0271,0,0.96106,0.70274,0.78908,0.61278,0.92522,0.67586,0.75567,0.56409,0.72992,1.47219,0.65958,0.97705,0,0.00113409,0.00113409,0.00113409
34,898.896,0.75207,1.37951,0.73804,1.02646,0,0.92555,0.70572,0.78972,0.62248,0.83286,0.73058,0.78199,0.5804,0.66515,1.42387,0.72332,0.92074,0,0.00111744,0.00111744,0.00111744
35,924.941,0.7565,1.41282,0.72066,1.02703,0,0.92505,0.72297,0.78828,0.61057,0.91098,0.71503,0.77461,0.57536,0.6962,1.43083,0.68209,0.97089,0,0.00110079,0.00110079,0.00110079
36,952.171,0.74073,1.3631,0.71981,1.01678,0,0.93812,0.70884,0.79865,0.62817,0.92845,0.70587,0.79506,0.59715,0.71696,1.38495,0.65862,0.97961,0,0.00108413,0.00108413,0.00108413
37,979.379,0.73951,1.35299,0.71853,1.01387,0,0.92618,0.70682,0.78691,0.63213,0.93193,0.71003,0.78902,0.5997,0.68937,1.366,0.66984,0.95455,0,0.00106748,0.00106748,0.00106748
38,1004.74,0.74767,1.36691,0.72682,1.02048,0,0.90673,0.71642,0.79912,0.62405,0.90139,0.69898,0.78683,0.58509,0.63852,1.35453,0.70427,0.91782,0,0.00105083,0.00105083,0.00105083
39,1031.42,0.73516,1.36152,0.72013,1.01374,0,0.90609,0.71048,0.78729,0.63069,0.89972,0.72708,0.78325,0.57672,0.65923,1.41088,0.68083,0.92629,0,0.00103417,0.00103417,0.00103417
40,1058.46,0.73382,1.33637,0.70764,1.0048,0,0.85065,0.74097,0.78073,0.61767,0.83091,0.72174,0.76129,0.56715,0.6393,1.39733,0.68431,0.92831,0,0.00101752,0.00101752,0.00101752
41,1083.24,0.72897,1.34301,0.70827,1.01323,0,0.90759,0.71626,0.78594,0.62745,0.88435,0.69703,0.7714,0.59446,0.6504,1.38308,0.67695,0.92517,0,0.00100087,0.00100087,0.00100087
42,1109.65,0.70213,1.32734,0.69087,0.99748,0,0.86597,0.75562,0.79173,0.62131,0.86115,0.75226,0.78821,0.57115,0.67622,1.46317,0.68594,0.9542,0,0.000984213,0.000984213,0.000984213
